SST,pCO2
20.354,372.922
20.354,371.528
20.344,369.539
20.361,369.533
20.33,368.564
20.335,370.15
20.348,370.002
20.68,373.667
20.71,373.698
20.674,372.216
20.666,372.913
20.67,372.33
20.66,372.961
20.672,372.69
20.637,375.454
20.632,372.78
20.608,372.244
20.604,369.535
20.684,369.618
20.836,370.134
20.917,372.161
20.97,372.599
20.988,372.962
21.051,374.026
21.078,372.849
21.141,373.064
21.806,369.408
21.809,370.249
21.833,370.551
21.862,370.571
21.867,368.436
21.884,369.397
21.887,372.395
21.87,372.489
21.783,371.382
21.773,373.794
21.785,371.751
21.788,369.442
21.749,370.949
21.701,369.763
21.658,368.233
21.661,371.091
21.661,367.897
21.649,372.43
21.684,368.79
21.855,373.189
21.858,373.508
21.87,374.188
21.886,374.855
21.901,371.551
21.922,370.255
21.918,370.19
21.905,371.781
21.909,371.679
21.919,368.839
21.919,366.904
21.931,368.817
21.922,371.35
21.92,372.458
21.91,372.392
21.901,371.401
21.924,369.655
21.918,370.494
21.924,371.515
22.03,369.981
22.029,370.935
22.043,370.37
22.04,369.347
22.03,370.163
22.084,370.989
22.062,372.53
22.079,373.03
22.102,370.942
22.119,368.213
22.134,364.501
22.173,362.302
22.211,364.476
22.228,363.828
22.233,365.462
22.263,368.056
22.278,366.648
22.317,365.078
22.363,363.002
22.327,362.651
22.319,361.285
22.365,361.469
22.376,360.604
22.347,359.907
22.356,359.345
22.34,360.79
22.252,361.049
22.17,360.749
22.199,361.254
22.255,363.105
22.35,363.706
22.468,363.995
22.508,366.843
22.502,366.286
22.475,364.491
22.373,363.103
22.335,365.317
22.326,365.069
22.586,363.836
22.597,363.559
22.552,362.356
22.52,362.755
22.479,365.376
22.522,367.016
22.529,363.843
22.571,365.33
22.6,365.449
22.652,364.984
22.679,363.054
22.678,365.438
22.623,365.276
22.603,364.151
22.565,363.858
22.603,362.84
22.609,360.304
22.627,360.689
22.654,364.332
22.586,361.903
22.602,362.156
22.661,364.306
22.709,366.175
22.734,365.079
22.731,364.393
22.729,364.419
22.748,363.667
22.754,364.502
22.747,364.015
22.71,365.429
22.713,366.573
22.692,365.907
22.681,365.064
22.641,365.962
22.703,366.174
22.75,369.416
22.742,368.159
22.701,368.662
22.701,366.281
22.839,367.947
22.903,367.598
22.912,366.609
22.909,366.975
22.917,368.183
22.917,368.65
22.932,367.492
22.929,367.416
22.956,367.088
22.969,367.589
22.967,368.301
22.962,368.263
22.956,368.207
22.949,368.565
22.943,367.972
22.944,368.075
22.922,369.428
22.905,368.778
22.781,371.242
22.779,372
22.768,372.685
22.779,372.68
22.781,371.85
22.785,371.781
22.782,371.33
22.775,370.534
22.766,370.84
22.743,369.55
22.761,369.89
22.783,369.026
22.799,367.875
22.804,368.039
22.815,368.563
22.836,369.134
22.837,368.388
22.864,368.423
22.864,368.214
22.713,369.563
22.693,368.79
22.72,367.975
22.743,367.192
22.775,367.425
22.796,366.724
22.802,368.133
22.766,370.096
22.748,369.111
22.717,370.089
22.694,371.028
22.705,369.41
22.728,369.702
22.784,370.161
22.839,370.204
22.874,371.526
22.869,371.685
22.867,371.161
22.835,371.384
22.864,371.206
22.867,370.357
22.862,369.094
22.848,369.436
22.845,368.914
22.831,367.854
22.843,368.049
22.826,367.303
22.838,368.605
22.883,367.538
22.897,366.099
22.907,367.425
22.893,368.391
22.9,369.009
22.904,367.03
22.909,366.859
22.898,369.195
22.908,368.558
22.904,366.998
22.63,368.927
22.661,368.718
22.673,368.694
22.638,367.981
22.589,368.66
22.563,367.014
22.571,366.841
22.574,367.055
22.57,366.453
22.597,366.499
22.604,366.701
22.595,367.283
22.581,367.054
22.629,367.816
22.646,367.436
22.651,367.537
22.641,366.529
22.659,366.707
